etat,bucket,file,dur,start,end,src
HIPPOCAMPE,FRAGMENTS,H028_v3_hippocampe.wav,9.441,212.68,222.12,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H029_v3_hippocampe.wav,2.03,223.98,226.01,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H030_v3_hippocampe.wav,4.999,232.002,237.0,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H031_v3_hippocampe.wav,2.475,239.988,242.463,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H032_v3_hippocampe.wav,7.334,250.932,258.266,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H033_v3_hippocampe.wav,4.455,260.035,264.49,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H034_v3_hippocampe.wav,2.148,268.169,270.317,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H037_v3_hippocampe.wav,10.193,327.993,338.186,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H039_v3_hippocampe.wav,5.889,461.98,467.869,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H040_v3_hippocampe.wav,5.402,488.084,493.486,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H041_v3_hippocampe.wav,8.145,496.001,504.147,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H042_v3_hippocampe.wav,3.32,505.046,508.366,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H043_v3_hippocampe.wav,11.87,577.315,589.185,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H044_v3_hippocampe.wav,4.029,599.985,604.014,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H045_v3_hippocampe.wav,8.572,611.983,620.555,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H046_v3_hippocampe.wav,12.39,652.541,664.931,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H047_v3_hippocampe.wav,4.084,685.982,690.066,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H048_v3_hippocampe.wav,8.787,691.981,700.769,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H049_v3_hippocampe.wav,3.197,708.485,711.682,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H051_v3_hippocampe.wav,11.787,737.98,749.768,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H052_v3_hippocampe.wav,9.282,751.985,761.268,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H053_v3_hippocampe.wav,11.643,775.017,786.66,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H054_v3_hippocampe.wav,9.789,809.99,819.779,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H055_v3_hippocampe.wav,7.472,827.033,834.505,ambiance opacité fin V6 Hippocampe.wav
HIPPOCAMPE,FRAGMENTS,H056_v3_hippocampe.wav,4.913,849.981,854.894,ambiance opacité fin V6 Hippocampe.wav
