etat,bucket,file,dur,start,end,src
AMBIANCE,OK,A06_v3_cortex_ambiance.wav,16.465,180.072,196.538,ambiance opacité fin V3.wav
AMBIANCE,OK,A07_v3_cortex_ambiance.wav,5.312,200.098,205.41,ambiance opacité fin V3.wav
AMBIANCE,OK,A08_v3_cortex_ambiance.wav,5.946,221.454,227.4,ambiance opacité fin V3.wav
AMBIANCE,OK,A09_v3_cortex_ambiance.wav,3.961,231.716,235.676,ambiance opacité fin V3.wav
AMBIANCE,OK,A10_v3_cortex_ambiance.wav,2.188,242.852,245.04,ambiance opacité fin V3.wav
AMBIANCE,OK,A11_v3_cortex_ambiance.wav,2.808,264.316,267.124,ambiance opacité fin V3.wav
AMBIANCE,OK,A12_v3_cortex_ambiance.wav,14.536,269.079,283.615,ambiance opacité fin V3.wav
AMBIANCE,OK,A13_v3_cortex_ambiance.wav,2.454,284.719,287.173,ambiance opacité fin V3.wav
AMBIANCE,OK,A14_v3_cortex_ambiance.wav,4.836,296.072,300.908,ambiance opacité fin V3.wav
AMBIANCE,OK,A15_v3_cortex_ambiance.wav,2.749,358.086,360.835,ambiance opacité fin V3.wav
AMBIANCE,OK,A16_v3_cortex_ambiance.wav,5.092,431.057,436.149,ambiance opacité fin V3.wav
AMBIANCE,OK,A17_v3_cortex_ambiance.wav,5.931,446.679,452.609,ambiance opacité fin V3.wav
AMBIANCE,OK,A18_v3_cortex_ambiance.wav,2.271,495.417,497.689,ambiance opacité fin V3.wav
AMBIANCE,OK,A19_v3_cortex_ambiance.wav,3.551,501.381,504.932,ambiance opacité fin V3.wav
AMBIANCE,OK,A20_v3_cortex_ambiance.wav,5.092,551.057,556.149,ambiance opacité fin V3.wav
AMBIANCE,OK,A21_v3_cortex_ambiance.wav,2.867,566.679,569.546,ambiance opacité fin V3.wav
AMBIANCE,OK,A22_v3_cortex_ambiance.wav,3.41,573.965,577.375,ambiance opacité fin V3.wav
AMBIANCE,OK,A23_v3_cortex_ambiance.wav,11.506,579.169,590.675,ambiance opacité fin V3.wav
AMBIANCE,OK,A24_v3_cortex_ambiance.wav,17.389,591.913,609.302,ambiance opacité fin V3.wav
AMBIANCE,OK,A25_v3_cortex_ambiance.wav,9.867,621.758,631.625,ambiance opacité fin V3.wav
AMBIANCE,OK,A26_v3_cortex_ambiance.wav,4.604,640.228,644.832,ambiance opacité fin V3.wav
AMBIANCE,OK,A27_v3_cortex_ambiance.wav,3.429,689.807,693.236,ambiance opacité fin V3.wav
AMBIANCE,OK,A28_v3_cortex_ambiance.wav,5.919,708.195,714.115,ambiance opacité fin V3.wav
AMBIANCE,OK,A29_v3_cortex_ambiance.wav,2.454,715.219,717.673,ambiance opacité fin V3.wav
AMBIANCE,OK,A30_v3_cortex_ambiance.wav,2.76,728.037,730.797,ambiance opacité fin V3.wav
AMBIANCE,OK,A31_v3_cortex_ambiance.wav,2.287,733.894,736.181,ambiance opacité fin V3.wav
AMBIANCE,OK,A32_v3_cortex_ambiance.wav,4.218,747.073,751.292,ambiance opacité fin V3.wav
AMBIANCE,OK,A33_v3_cortex_ambiance.wav,13.987,969.663,983.65,ambiance opacité fin V3.wav
AMBIANCE,OK,A34_v3_cortex_ambiance.wav,4.448,988.183,992.631,ambiance opacité fin V3.wav
AMBIANCE,OK,A35_v3_cortex_ambiance.wav,3.433,997.822,1001.255,ambiance opacité fin V3.wav
AMBIANCE,OK,A36_v3_cortex_ambiance.wav,5.276,1016.044,1021.32,ambiance opacité fin V3.wav
AMBIANCE,OK,A37_v3_cortex_ambiance.wav,2.562,1091.695,1094.257,ambiance opacité fin V3.wav
AMBIANCE,OK,A38_v3_cortex_ambiance.wav,23.634,1104.187,1127.822,ambiance opacité fin V3.wav
AMBIANCE,OK,A39_v3_cortex_ambiance.wav,13.436,1131.985,1145.421,ambiance opacité fin V3.wav
AMBIANCE,OK,A40_v3_cortex_ambiance.wav,15.801,1152.136,1167.937,ambiance opacité fin V3.wav
AMBIANCE,OK,A41_v3_cortex_ambiance.wav,12.685,1170.433,1183.119,ambiance opacité fin V3.wav
AMBIANCE,OK,A42_v3_cortex_ambiance.wav,2.297,1186.012,1188.309,ambiance opacité fin V3.wav
AMBIANCE,OK,A43_v3_cortex_ambiance.wav,19.691,1440.076,1459.767,ambiance opacité fin V3.wav
AMBIANCE,OK,A44_v3_cortex_ambiance.wav,16.786,1460.731,1477.518,ambiance opacité fin V3.wav
AMBIANCE,OK,A45_v3_cortex_ambiance.wav,14.641,1488.079,1502.72,ambiance opacité fin V3.wav
AMBIANCE,OK,A46_v3_cortex_ambiance.wav,25.933,1510.086,1536.019,ambiance opacité fin V3.wav
AMBIANCE,OK,A47_v3_cortex_ambiance.wav,3.949,1543.981,1547.93,ambiance opacité fin V3.wav
AMBIANCE,OK,A48_v3_cortex_ambiance.wav,51.854,1560.163,1612.017,ambiance opacité fin V3.wav
AMBIANCE,OK,A49_v3_cortex_ambiance.wav,32.035,1619.982,1652.018,ambiance opacité fin V3.wav
AMBIANCE,OK,A50_v3_cortex_ambiance.wav,58.035,1655.983,1714.018,ambiance opacité fin V3.wav
AMBIANCE,OK,A51_v3_cortex_ambiance.wav,60.035,1717.983,1778.018,ambiance opacité fin V3.wav
AMBIANCE,OK,A52_v3_cortex_ambiance.wav,58.783,1801.047,1859.83,ambiance opacité fin V3.wav
AMBIANCE,OK,A53_v3_cortex_ambiance.wav,29.512,1864.062,1893.574,ambiance opacité fin V3.wav
AMBIANCE,OK,A54_v3_cortex_ambiance.wav,53.664,1920.126,1973.79,ambiance opacité fin V3.wav
AMBIANCE,OK,A55_v3_cortex_ambiance.wav,28.746,1976.11,2004.856,ambiance opacité fin V3.wav
AMBIANCE,OK,A56_v3_cortex_ambiance.wav,59.861,2010.012,2069.874,ambiance opacité fin V3.wav
AMBIANCE,OK,A57_v3_cortex_ambiance.wav,12.828,2072.19,2085.018,ambiance opacité fin V3.wav
AMBIANCE,OK,A58_v3_cortex_ambiance.wav,20.61,2091.262,2111.871,ambiance opacité fin V3.wav
AMBIANCE,OK,A59_v3_cortex_ambiance.wav,59.736,2119.989,2179.725,ambiance opacité fin V3.wav
AMBIANCE,OK,A60_v3_cortex_ambiance.wav,15.995,2181.598,2197.593,ambiance opacité fin V3.wav
AMBIANCE,OK,A61_v3_cortex_ambiance.wav,50.411,2220.385,2270.797,ambiance opacité fin V3.wav
AMBIANCE,OK,A62_v3_cortex_ambiance.wav,36.673,2280.11,2316.784,ambiance opacité fin V3.wav
AMBIANCE,OK,A63_v3_cortex_ambiance.wav,90.762,2336.595,2427.357,ambiance opacité fin V3.wav
AMBIANCE,OK,A64_v3_cortex_ambiance.wav,62.677,2464.352,2527.029,ambiance opacité fin V3.wav
AMBIANCE,OK,A65_v3_cortex_ambiance.wav,41.63,2580.327,2621.956,ambiance opacité fin V3.wav
AMBIANCE,OK,A66_v3_cortex_ambiance.wav,59.838,2639.981,2699.819,ambiance opacité fin V3.wav
AMBIANCE,OK,A67_v3_cortex_ambiance.wav,59.829,2715.981,2775.81,ambiance opacité fin V3.wav
AMBIANCE,OK,A68_v3_cortex_ambiance.wav,59.641,2780.35,2839.991,ambiance opacité fin V3.wav
